model_nm|matrix_nm|params|scores
KMeans|w2v_m_X_train_one_million|{'max_iter': 200, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 200, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 300, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 300, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 300, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 400, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 400, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 400, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'euclidean', 'linkage': 'ward'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'euclidean', 'linkage': 'complete'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'euclidean', 'linkage': 'average'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'euclidean', 'linkage': 'single'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l1', 'linkage': 'complete'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l1', 'linkage': 'average'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l1', 'linkage': 'single'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l2', 'linkage': 'complete'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l2', 'linkage': 'average'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'l2', 'linkage': 'single'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'manhattan', 'linkage': 'complete'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'manhattan', 'linkage': 'average'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'manhattan', 'linkage': 'single'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'cosine', 'linkage': 'complete'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'cosine', 'linkage': 'average'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
Agglomerative|pos_m_X_train_one_million|{'affinity': 'cosine', 'linkage': 'single'}|"{""mean_test_accuracy"": NaN, ""mean_test_precision_weighted"": NaN, ""mean_test_recall_weighted"": NaN, ""mean_test_adjusted_rand_score"": NaN, ""mean_test_adjusted_mutual_info_score"": NaN}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 9e-07, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 9e-07, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 9e-07, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1e-06, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1e-06, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1e-06, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1.1e-06, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001485848848926, ""mean_test_precision_weighted"": 0.5004207735296052, ""mean_test_recall_weighted"": 0.5001485848848926, ""mean_test_adjusted_rand_score"": -0.0006095204036382549, ""mean_test_adjusted_mutual_info_score"": -2.7161949858217438e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1.1e-06, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001485848848926, ""mean_test_precision_weighted"": 0.5004207735296052, ""mean_test_recall_weighted"": 0.5001485848848926, ""mean_test_adjusted_rand_score"": -0.0006095204036382549, ""mean_test_adjusted_mutual_info_score"": -2.7161949858217438e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 50, 'reg_covar': 1.1e-06, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5001485848848926, ""mean_test_precision_weighted"": 0.5004207735296052, ""mean_test_recall_weighted"": 0.5001485848848926, ""mean_test_adjusted_rand_score"": -0.0006095204036382549, ""mean_test_adjusted_mutual_info_score"": -2.7161949858217438e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 9e-07, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 9e-07, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 9e-07, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5001928745138101, ""mean_test_precision_weighted"": 0.5005631824337077, ""mean_test_recall_weighted"": 0.5001928745138101, ""mean_test_adjusted_rand_score"": -0.0006474265270021211, ""mean_test_adjusted_mutual_info_score"": -2.286390458019363e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 1e-06, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 1e-06, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 1e-06, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5001714440381307, ""mean_test_precision_weighted"": 0.5004943721134193, ""mean_test_recall_weighted"": 0.5001714440381307, ""mean_test_adjusted_rand_score"": -0.0006546597406830454, ""mean_test_adjusted_mutual_info_score"": -2.4219293811073235e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 1.1e-06, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5001485848848926, ""mean_test_precision_weighted"": 0.5004207735296052, ""mean_test_recall_weighted"": 0.5001485848848926, ""mean_test_adjusted_rand_score"": -0.0006095204036382549, ""mean_test_adjusted_mutual_info_score"": -2.7161949858217438e-06}"
GMM|pos_m_X_train_one_million|{'covariance_type': 'full', 'max_iter': 100, 'reg_covar': 1.1e-06, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5001485848848926, ""mean_test_precision_weighted"": 0.5004207735296052, ""mean_test_recall_weighted"": 0.5001485848848926, ""mean_test_adjusted_rand_score"": -0.0006095204036382549, ""mean_test_adjusted_mutual_info_score"": -2.7161949858217438e-06}"
